catchment,prepare_exe,run_at_5km
1001,exe20,False
2001,exe50,False
2002,exe20,False
3003,exe20,False
4001,exe50,False
4003,exe20,False
4005,exe20,False
4006,exe20,False
5003,exe50,False
6007,exe50,False
6008,exe20,False
7001,exe20,False
7002,exe50,False
7003,exe20,False
7005,exe20,False
7006,exe20,False
8004,exe50,False
8005,exe50,False
8006,exe50,True
8009,exe20,False
8011,exe20,False
8013,exe20,False
9002,exe50,False
9003,exe20,False
9004,exe20,False
9005,exe20,False
10002,exe20,False
10003,exe50,False
11001,exe50,False
11003,exe50,False
11004,exe20,False
12001,exe50,False
12002,exe50,False
12005,exe20,False
12006,exe20,False
12007,exe20,False
12008,exe50,False
12009,exe20,False
13001,exe20,False
13004,exe20,False
13005,exe20,False
13007,exe50,False
13008,exe50,False
14001,exe50,False
14002,exe20,False
14005,exe20,False
15006,exe50,True
15007,exe50,False
15010,exe20,False
15011,exe50,False
15012,exe50,False
15013,exe20,False
15014,exe20,False
15016,exe50,False
15021,exe20,False
15023,exe20,False
15024,exe20,False
15025,exe50,False
15030,exe20,False
15039,exe20,False
16001,exe50,False
16003,exe20,False
16004,exe50,False
17001,exe20,False
17003,exe20,False
17004,exe20,False
17005,exe20,False
17015,exe20,False
17018,exe20,False
18001,exe20,False
18002,exe20,False
18003,exe50,False
18008,exe20,False
18010,exe50,False
18011,exe50,False
18014,exe20,False
18017,exe20,False
18018,exe20,False
19001,exe20,False
19006,exe20,False
19010,exe20,False
19017,exe20,False
19020,exe20,False
20002,exe20,False
20003,exe20,False
20007,exe20,False
21003,exe50,False
21006,exe50,False
21008,exe50,False
21009,exe50,True
21011,exe20,False
21012,exe20,False
21013,exe20,False
21015,exe20,False
21016,exe20,False
21017,exe20,False
21018,exe20,False
21022,exe50,False
21023,exe20,False
21024,exe20,False
21026,exe20,False
21027,exe20,False
22001,exe50,False
22006,exe20,False
22007,exe20,False
22009,exe20,False
23001,exe50,False
23004,exe50,False
23006,exe20,False
23007,exe20,False
23008,exe20,False
23011,exe20,False
23016,exe20,False
24001,exe50,False
24003,exe20,False
24004,exe20,False
24005,exe20,False
25001,exe50,False
25003,exe20,False
25006,exe20,False
25012,exe20,False
25020,exe20,False
25021,exe20,False
25029,exe20,False
26003,exe20,False
26005,exe20,False
26006,exe20,False
26008,exe20,False
26009,exe20,False
27001,exe50,False
27002,exe50,False
27003,exe50,False
27006,exe20,False
27007,exe50,False
27009,exe50,True
27021,exe50,False
27023,exe20,False
27025,exe20,False
27026,exe20,False
27029,exe20,False
27030,exe20,False
27032,exe20,False
27034,exe50,False
27035,exe20,False
27038,exe20,False
27041,exe50,False
27042,exe20,False
27043,exe20,False
27047,exe20,False
27049,exe20,False
27051,exe20,False
27062,exe50,False
27064,exe20,False
27065,exe20,False
27071,exe50,False
27073,exe20,False
27077,exe20,False
27079,exe50,False
27080,exe50,False
27084,exe20,False
27087,exe50,False
27089,exe50,False
27090,exe50,False
28001,exe20,False
28003,exe20,False
28008,exe20,False
28009,exe50,True
28012,exe50,False
28015,exe50,False
28018,exe50,False
28022,exe50,True
28023,exe20,False
28024,exe20,False
28026,exe20,False
28031,exe20,False
28033,exe20,False
28039,exe20,False
28040,exe20,False
28043,exe20,False
28044,exe20,False
28046,exe20,False
28048,exe20,False
28050,exe20,False
28052,exe20,False
28055,exe20,False
28056,exe20,False
28060,exe20,False
28066,exe20,False
28067,exe50,False
28072,exe20,False
28074,exe50,False
28080,exe50,False
28081,exe20,False
28082,exe20,False
28085,exe50,False
28091,exe20,False
28093,exe50,False
28115,exe20,False
28116,exe20,False
28117,exe50,False
29002,exe20,False
29003,exe20,False
29005,exe20,False
29009,exe20,False
30001,exe20,False
30004,exe20,False
30005,exe20,False
30011,exe20,False
30012,exe20,False
30014,exe20,False
30015,exe20,False
31002,exe20,False
31006,exe20,False
31010,exe20,False
31021,exe20,False
31023,exe20,False
31025,exe20,False
32003,exe20,False
32004,exe20,False
32006,exe20,False
32008,exe20,False
33006,exe20,False
33007,exe20,False
33012,exe20,False
33013,exe20,False
33014,exe20,False
33018,exe20,False
33019,exe20,False
33020,exe20,False
33021,exe20,False
33022,exe50,False
33023,exe20,False
33024,exe20,False
33026,exe50,False
33028,exe20,False
33029,exe20,False
33031,exe20,False
33032,exe20,False
33033,exe20,False
33034,exe50,False
33035,exe50,True
33039,exe50,False
33053,exe20,False
33054,exe20,False
33058,exe20,False
34002,exe20,False
34003,exe20,False
34004,exe50,False
34005,exe20,False
34006,exe20,False
34007,exe20,False
34008,exe20,False
34010,exe20,False
34011,exe20,False
34012,exe20,False
35003,exe20,False
35008,exe20,False
36003,exe20,False
36006,exe50,False
36009,exe20,False
36010,exe20,False
36011,exe20,False
36012,exe20,False
37001,exe20,False
37003,exe20,False
37005,exe20,False
37008,exe20,False
37009,exe20,False
37010,exe20,False
37011,exe20,False
37018,exe20,False
37019,exe20,False
37020,exe20,False
37031,exe20,False
37033,exe20,False
38001,exe50,False
38003,exe20,False
38004,exe20,False
38007,exe20,False
38012,exe20,False
38014,exe20,False
38017,exe20,False
38018,exe20,False
38021,exe20,False
38026,exe20,False
38029,exe20,False
38030,exe20,False
39001,exe50,True
39002,exe50,True
39004,exe20,False
39005,exe20,False
39006,exe20,False
39007,exe20,False
39008,exe50,False
39010,exe50,False
39011,exe20,False
