          Spatially Averaged Totals (mm) over the simulation
     Time(Hours),       Cum Prec., Cum. Can. Evap., Cum. Soil Evap.,      Cum. Trans,  Cum. Aqu. Flow,  Cum. Discharge,  Canopy Storage,    Snow Storage,Subsurface Stor., Land Surf Stor.,   Channel Stor.
           0.050,           0.002,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.002,        4363.770,           0.005,           0.001
          24.378,           0.765,           0.000,           0.002,           0.000,           0.000,           0.226,           0.000,           0.736,        4363.007,           0.118,           0.427
          48.378,           2.919,           0.000,           0.004,           0.000,           0.000,           0.749,           0.000,           1.502,        4362.852,           0.841,           0.607
          72.378,          11.368,           0.000,           0.004,           0.000,           0.000,           2.059,           0.000,           1.066,        4363.712,           6.247,           1.658
          96.167,          14.821,           0.182,           0.167,           0.001,           0.000,           5.600,           2.936,           0.000,        4363.723,           4.213,           1.775
         120.167,          22.960,           0.323,           0.168,           0.001,           0.000,           8.904,           3.342,           0.000,        4363.904,           7.660,           2.436
         144.167,          28.098,           0.517,           0.169,           0.001,           0.000,          13.866,           3.236,           0.000,        4363.943,           7.418,           2.724
         168.167,          28.217,           0.630,           0.170,           0.001,           0.000,          17.970,           2.959,           0.000,        4363.812,           4.376,           2.076
         192.167,          28.332,           0.879,           0.177,           0.002,           0.000,          20.350,           2.824,           0.000,        4363.462,           2.866,           1.550
         216.167,          28.344,           1.404,           0.243,           0.023,           0.000,          21.936,           2.312,           0.000,        4362.932,           2.036,           1.241
         240.167,          30.170,           1.620,           0.250,           0.026,           0.000,          23.164,           3.026,           0.000,        4362.707,           2.055,           1.104
         264.167,          31.194,           1.763,           0.251,           0.026,           0.000,          24.322,           2.969,           0.000,        4362.529,           2.051,           1.068
         288.167,          31.400,           1.990,           0.254,           0.027,           0.000,          25.389,           2.915,           0.000,        4361.983,           1.615,           1.016
         312.167,          33.486,           2.287,           0.256,           0.027,           0.000,          26.407,           3.052,           0.000,        4362.081,           2.124,           1.040
         336.167,          36.446,           3.072,           0.260,           0.027,           0.000,          27.593,           3.086,           0.000,        4362.240,           2.800,           1.156
         360.167,          36.786,           3.507,           0.267,           0.028,           0.000,          28.885,           2.871,           0.000,        4361.855,           2.048,           1.116
         384.167,          36.786,           3.790,           0.286,           0.035,           0.000,          29.985,           2.588,           0.000,        4361.316,           1.569,           1.012
         408.167,          36.786,           3.968,           0.308,           0.046,           0.000,          30.943,           2.410,           0.000,        4360.713,           1.269,           0.930
         432.167,          36.786,           4.258,           0.361,           0.077,           0.000,          31.809,           2.120,           0.000,        4360.028,           1.068,           0.872
         456.167,          36.821,           4.758,           0.506,           0.188,           0.000,          32.614,           1.655,           0.000,        4359.207,           0.879,           0.827
         480.167,          37.038,           4.760,           0.507,           0.189,           0.000,          33.377,           1.869,           0.000,        4358.520,           0.834,           0.801
         504.299,          59.595,           5.369,           0.511,           0.191,           0.000,          36.086,           3.489,           0.000,        4362.527,          12.004,           3.218
         528.692,          70.628,           5.480,           0.512,           0.191,           0.000,          45.264,           3.331,           0.000,        4363.330,          12.442,           3.876
         552.639,          75.656,           5.571,           0.513,           0.191,           0.000,          52.994,           3.324,           0.000,        4363.590,           9.890,           3.383
         576.639,          84.833,           5.647,           0.513,           0.191,           0.000,          60.081,           3.264,           0.000,        4363.849,          11.471,           3.615
         600.639,          85.372,           5.746,           0.513,           0.191,           0.000,          66.371,           2.962,           0.001,        4363.755,           6.779,           2.853
         624.139,          85.817,           5.996,           0.515,           0.191,           0.000,          70.194,           2.973,           0.015,        4363.465,           4.189,           2.081
         648.139,          85.966,           6.012,           0.515,           0.191,           0.000,          72.562,           2.972,           0.015,        4363.060,           2.889,           1.554
         672.139,          86.291,           6.060,           0.515,           0.191,           0.000,          74.176,           3.047,           0.015,        4362.585,           2.231,           1.272
         696.139,         106.017,           6.060,           0.515,           0.191,           0.000,          78.581,           3.478,           0.015,        4363.815,          13.310,           3.841
         720.139,         113.149,           6.099,           0.516,           0.191,           0.000,          87.814,           3.303,           0.049,        4363.935,          11.351,           3.692
         744.139,         118.238,           6.774,           0.520,           0.191,           0.000,          94.837,           3.234,           1.311,        4363.917,           8.168,           3.088
