Shetran-Optimise
****************
number,deep_soil_conductivity,shallow_soil_conductivity,shallow_soil_depth,AePe_ratio,urban-prec-fraction,NSECal,BiasCal,NSEVal,BiasVal
   1,    0.0001,    3.5226,    1.7338,    1.5004,    0.4852,    0.6501,  -12.5988,    0.7276,   -7.1429
   2,    0.8383,   34.2001,    3.7036,    1.6938,    0.4331,    0.2344,  -20.8153,    0.2995,  -10.0632
   3,    0.3451,   87.2472,    0.8147,    1.8324,    0.3804,    0.4003,  -21.3819,    0.4881,  -11.5926
   4,    0.7346,   30.7174,    0.6740,    1.8623,    0.1391,    0.5693,  -23.0365,    0.6626,  -13.8211
   5,    0.0404,    9.4175,    2.4559,    1.8897,    0.1303,    0.5908,  -23.3652,    0.6810,  -14.3524
   6,    0.9118,   10.0904,    2.7322,    1.7784,    0.1484,    0.5280,  -23.2258,    0.6365,  -12.8541
   7,    0.9946,   78.0468,    0.5688,    0.7548,    0.4979,    0.6167,   -3.7125,    0.7047,    4.9753
   8,    0.7537,   22.5794,    2.8075,    1.3085,    0.2920,    0.4073,  -14.9889,    0.4981,   -4.3541
   9,    0.8392,    3.5166,    3.9628,    1.3787,    0.4068,    0.6687,  -14.0423,    0.7558,   -5.4803
  10,    0.4449,   71.2410,    3.2808,    1.1581,    0.1835,    0.2847,   -7.3131,    0.3255,    2.3121
  11,    0.7311,   66.9074,    3.0273,    0.8172,    0.2233,    0.2963,   -1.7261,    0.3336,    7.5649
  12,    0.2631,   75.4773,    2.4243,    1.4551,    0.3524,    0.3119,  -13.1081,    0.3652,   -3.4756
  13,    0.4948,   47.5988,    0.9288,    1.3023,    0.1777,    0.5788,  -13.0522,    0.6744,   -3.8789
  14,    0.9679,   59.3338,    0.5617,    0.9715,    0.3213,    0.6362,   -7.4169,    0.7268,    1.3576
  15,    0.6763,    2.6714,    1.4298,    1.1913,    0.4350,    0.7205,   -8.9972,    0.7936,   -2.1587
  16,    0.2290,   62.7280,    0.6591,    1.2848,    0.4239,    0.6593,  -11.8762,    0.7492,   -3.6234
  17,    0.3319,   89.3009,    2.9599,    1.6190,    0.2036,    0.2627,  -13.5365,    0.3049,   -3.7945
  18,    0.6713,   65.8425,    3.7741,    1.9569,    0.3004,    0.2003,  -20.9661,    0.2479,  -10.6397
  19,    0.4299,   32.3944,    2.6129,    0.7531,    0.4706,    0.4992,   -3.8908,    0.5804,    5.4612
  20,    0.5356,   54.2413,    2.4770,    1.0546,    0.2952,    0.3544,   -7.8724,    0.4149,    1.7480
  21,    0.1927,   60.6759,    2.7367,    1.2167,    0.3986,    0.3403,  -10.3617,    0.4001,   -0.5353
  22,    0.6608,   97.5123,    3.6124,    1.6758,    0.4911,    0.2624,  -13.7554,    0.3027,   -4.3000
  23,    0.5113,   27.4965,    0.4417,    1.8098,    0.2533,    0.6137,  -20.9786,    0.6912,  -13.1625
  24,    0.5126,   32.2970,    0.3580,    1.7676,    0.2338,    0.6218,  -20.2766,    0.7009,  -12.4443
  25,    0.7735,   57.3575,    1.1371,    1.4490,    0.4237,    0.4901,  -16.0832,    0.5868,   -6.3636
  26,    0.2198,   18.5198,    0.7798,    1.6783,    0.0834,    0.6400,  -17.3045,    0.7205,  -10.3012
  27,    0.7194,   54.5051,    3.2129,    0.5647,    0.2006,    0.3170,    1.8028,    0.3551,   11.0129
  28,    0.2354,   33.9415,    1.5452,    0.9966,    0.4864,    0.6044,   -7.9116,    0.6946,    1.0672
  29,    0.6783,   48.4496,    0.2648,    0.8919,    0.4599,    0.7496,   -5.0055,    0.8190,    2.2243
  30,    0.7984,   29.9706,    0.2707,    1.4646,    0.2226,    0.6734,  -14.7492,    0.7569,   -6.9587
  31,    0.6142,   42.2684,    3.2833,    1.1021,    0.3178,    0.3195,   -9.2373,    0.3768,    0.6804
  32,    0.5973,   49.1845,    1.0364,    0.5973,    0.4361,    0.6477,   -1.2747,    0.7327,    7.1212
  33,    0.2201,    0.1846,    0.9509,    1.3578,    0.3335,    0.6739,   -9.6544,    0.7403,   -4.3694
  34,    0.5425,    8.4339,    2.3586,    1.5711,    0.4147,    0.6313,  -17.6180,    0.7231,   -8.7164
  35,    0.2367,   46.3571,    1.0890,    0.8245,    0.6445,    0.6749,   -4.5144,    0.7597,    3.7473
  36,    0.7278,   18.3392,    1.6893,    1.0697,    0.3827,    0.6580,   -9.1891,    0.7474,   -0.4886
  37,    0.3593,   46.8696,    0.3991,    0.9812,    0.5104,    0.7509,   -5.8341,    0.8161,    0.9038
  38,    0.9439,   87.4987,    2.1594,    1.0957,    0.3958,    0.3195,   -6.1989,    0.3619,    2.9205
  39,    0.0181,    2.0853,    0.8731,    1.3060,    0.4718,    0.6969,   -8.8953,    0.7473,   -3.5209
  40,    0.8685,   77.4125,    2.5888,    1.8857,    0.1258,    0.2755,  -20.3801,    0.3270,  -10.8427
  41,    0.1473,    7.3427,    1.2308,    1.7983,    0.1269,    0.6090,  -18.4056,    0.6871,  -11.8574
  42,    0.1314,   30.9351,    0.5560,    0.9190,    0.5410,    0.7585,   -4.9360,    0.8206,    1.7499
  43,    0.1682,    3.5847,    1.1788,    1.2699,    0.6080,    0.6939,   -8.6833,    0.7580,   -3.1379
  44,    0.2831,   11.2546,    1.5118,    1.5191,    0.3027,    0.6686,  -15.4864,    0.7521,   -7.5952
  45,    0.2745,   40.9205,    0.2630,    1.1509,    0.4599,    0.7286,   -8.1916,    0.7981,   -1.6857
  46,    0.2208,   19.4647,    1.2976,    1.0411,    0.3936,    0.7396,   -7.0864,    0.8094,   -0.0009
  47,    0.0633,   40.8528,    0.9057,    0.7159,    0.6384,    0.7256,   -2.7655,    0.8010,    4.9841
  48,    0.0167,   24.4451,    0.9438,    0.3559,    0.6967,    0.7892,    2.2327,    0.8379,    8.9859
  49,    0.5292,   70.1639,    0.4417,    0.5815,    0.5253,    0.7714,   -0.4249,    0.8334,    6.6552
  50,    0.2051,   31.9817,    0.4518,    0.7137,    0.4410,    0.7746,   -2.1851,    0.8312,    4.5920
  51,    0.0906,   32.1930,    0.2480,    1.0112,    0.5780,    0.7446,   -5.4919,    0.7962,    0.5004
  52,    0.3479,   32.9706,    0.1985,    0.8791,    0.4715,    0.7510,   -3.5485,    0.7980,    2.3945
  53,    0.8273,   32.7595,    1.4742,    1.0216,    0.1733,    0.5506,   -8.9533,    0.6402,    0.5333
  54,    0.4697,   30.5950,    3.6020,    1.5856,    0.4074,    0.3209,  -19.5428,    0.4083,   -8.7245
  55,    0.5403,   73.7710,    3.8690,    1.3184,    0.1836,    0.2369,   -9.1933,    0.2711,    0.7616
  56,    0.3534,   29.2307,    1.3804,    0.8128,    0.9016,    0.6485,   -4.7948,    0.7354,    3.8226
  57,    0.2325,   13.3583,    1.6071,    1.3696,    0.4536,    0.6884,  -12.9849,    0.7705,   -5.1686
  58,    0.2570,   16.8630,    0.6321,    1.3606,    0.4795,    0.6945,  -11.3202,    0.7705,   -4.8540
  59,    0.7871,   22.5590,    2.4697,    0.6763,    0.4750,    0.5729,   -3.2616,    0.6590,    5.9112
  60,    0.3623,   23.0346,    1.4682,    1.0424,    0.6966,    0.6649,   -8.4220,    0.7525,    0.0913
  61,    0.8411,   11.2555,    3.3723,    1.1162,    0.3389,    0.5955,  -10.9973,    0.6919,   -1.3992
  62,    0.3049,   19.6033,    1.2109,    1.1551,    0.5868,    0.7206,   -9.1898,    0.7963,   -1.8236
  63,    0.7766,   38.9086,    3.5903,    1.8713,    0.4944,    0.2510,  -23.9587,    0.3248,  -13.3696
  64,    0.6611,   52.3481,    2.5927,    0.8638,    0.3255,    0.3677,   -4.7032,    0.4265,    4.7910
  65,    0.2866,    9.0515,    0.9605,    1.2747,    0.4287,    0.7084,   -9.7123,    0.7806,   -3.3104
  66,    0.4738,   22.4785,    0.3332,    1.0137,    0.5943,    0.7446,   -5.9859,    0.8080,    0.4495
  67,    0.4523,   99.3497,    2.5553,    1.5068,    0.1557,    0.3082,  -11.8530,    0.3505,   -2.5737
  68,    0.0315,    8.4891,    2.0821,    1.2696,    0.3295,    0.7114,  -10.7755,    0.7895,   -3.4826
  69,    0.7306,   29.3542,    0.5529,    1.5588,    0.1556,    0.6352,  -17.0465,    0.7259,   -8.5055
  70,    0.6984,   83.7456,    0.8025,    1.1095,    0.3533,    0.4745,   -9.2353,    0.5546,    0.0806
  71,    0.2539,   78.8621,    3.9850,    0.7524,    0.3578,    0.2505,    0.9554,    0.2770,   10.8239
  72,    0.3548,   64.7558,    0.6118,    0.3165,    0.5644,    0.7445,    3.0075,    0.8126,   10.5012
  73,    0.1319,   13.4827,    0.7780,    0.6387,    0.5682,    0.7639,   -1.0059,    0.8033,    5.1166
  74,    0.2128,   57.5584,    0.4617,    0.1281,    0.7375,    0.7780,    5.2542,    0.8338,   12.3622
  75,    0.1346,   48.3470,    0.6805,    0.2681,    0.6026,    0.7886,    3.3883,    0.8403,   10.3239
  76,    0.1406,   14.6925,    0.5177,    0.7168,    0.6352,    0.7641,   -2.0039,    0.8064,    4.1733
  77,    0.0056,   37.0485,    0.7315,    0.2540,    0.6907,    0.7906,    3.6981,    0.8308,   10.3149
  78,    0.2942,   38.6177,    0.5473,    0.6339,    0.5025,    0.7714,   -1.2800,    0.8324,    5.7589
  79,    0.6713,   46.1317,    3.8860,    0.5981,    0.2345,    0.2803,    1.0492,    0.3156,   10.6238
  80,    0.6914,   17.4071,    2.0785,    1.9853,    0.2903,    0.4124,  -28.0243,    0.5284,  -16.9277
  81,    0.3725,   36.6083,    3.8205,    0.6679,    0.1755,    0.3104,   -1.4219,    0.3560,    8.5942
  82,    0.3222,   51.0723,    2.7816,    1.1818,    0.1675,    0.3587,  -10.4274,    0.4275,   -0.4708
  83,    0.3118,   88.0648,    0.5250,    1.4632,    0.4888,    0.5674,  -15.1896,    0.6646,   -6.3203
  84,    0.7895,   29.9116,    1.4241,    1.8261,    0.2034,    0.4303,  -24.2056,    0.5386,  -13.5657
  85,    0.1623,   10.8376,    0.3129,    0.7012,    0.5147,    0.7493,   -1.4924,    0.7847,    4.5328
  86,    0.5060,   12.2018,    2.6111,    1.8328,    0.1228,    0.5354,  -23.7176,    0.6403,  -13.5740
  87,    0.0789,   16.9055,    0.5833,    0.4407,    0.5710,    0.7703,    1.0397,    0.8043,    7.2993
  88,    0.1629,    3.8193,    1.8700,    1.5331,    0.3111,    0.6555,  -13.0177,    0.7333,   -7.1809
  89,    0.9664,   92.8334,    2.8015,    1.4017,    0.4079,    0.2708,   -9.7685,    0.3078,   -0.3546
  90,    0.2178,   42.5790,    0.9389,    0.1042,    0.5331,    0.7473,    5.7104,    0.8104,   13.2211
  91,    0.0055,   25.4666,    0.6817,    0.3709,    0.6180,    0.7774,    2.1663,    0.8128,    8.5440
  92,    0.9722,    4.3004,    3.2247,    0.6291,    0.3516,    0.7533,   -1.9889,    0.8210,    5.6424
  93,    0.1085,   33.7841,    0.6696,    0.2136,    0.6442,    0.7947,    3.6983,    0.8338,   10.3469
  94,    0.1586,   61.2191,    0.7146,    0.1165,    0.5172,    0.7770,    5.4616,    0.8331,   12.5960
  95,    0.3991,   19.9153,    2.5853,    1.9273,    0.4332,    0.4304,  -26.4248,    0.5436,  -15.5141
  96,    0.7625,   29.5295,    3.7357,    1.8961,    0.3899,    0.2230,  -25.4944,    0.3010,  -14.3911
  97,    0.1542,   61.9134,    3.6418,    0.7439,    0.3621,    0.3098,   -0.8592,    0.3509,    8.7379
  98,    0.0149,   40.4701,    0.5739,    0.3148,    0.6552,    0.7919,    3.0560,    0.8369,    9.7286
  99,    0.9491,   15.2158,    3.9810,    0.6752,    0.3496,    0.5003,   -3.6693,    0.5830,    6.1873
 100,    0.1600,   19.9550,    0.4530,    0.5949,    0.5618,    0.7768,   -0.5637,    0.8191,    5.7676
 101,    0.2451,   67.8629,    2.3066,    0.6544,    0.2002,    0.3573,    0.3939,    0.4039,    9.5996
 102,    0.1449,   55.7989,    1.7517,    0.5020,    0.3489,    0.5302,    1.0779,    0.6075,    9.9445
 103,    0.4312,    7.9203,    3.9434,    1.9118,    0.3201,    0.4935,  -26.2567,    0.6074,  -15.3809
 104,    0.0061,   23.2188,    0.8667,    0.2079,    0.7048,    0.7917,    3.9174,    0.8342,   10.5974
 105,    0.0764,   35.8835,    0.6035,    0.1989,    0.6974,    0.7950,    3.9016,    0.8346,   10.5499
